NMJCounting,Muscle,Fenotype,Genotype,Maturity,Bounds0Red,Bounds1Red,Bounds2Red,CCDistRed,CCSize0Red,CCSize1Red,CCSize2Red,CCRed,FragmentationRed,Compactness0Red,Compactness1Red,MeanIntensityRed,ShapeFactor0Red,ShapeFactor1Red,ShapeFactor2Red,SkeletonLengthRed,SurfaceVolumeRatio0Red,SurfaceVolumeRatio1Red,Surface0Red,Surface1Red,Surface2Red,Surface3Red,SurfaceDil0Red,SurfaceDil1Red,Volume0Red,Volume1Red,Bounds0Gr,Bounds1Gr,Bounds2Gr,CCDistGr,CCSize0Gr,CCSize1Gr,CCSize2Gr,CCGr,Compactness0Gr,Compactness1Gr,FragmentationGr,ShapeFactor0Gr,ShapeFactor1Gr,ShapeFactor2Gr,SkeletonLengthGr,SurfaceVolumeRatio0Gr,SurfaceVolumeRatio1Gr,Surface0Gr,Surface1Gr,Surface2Gr,Surface3Gr,SurfaceDil0Gr,SurfaceDil1Gr,Volume0Gr,Volume1Gr,IoUGr,ComDist,Coverage,HausDist,NIntersection,NUnion
Degenerating,0,1,2,1,63,63,14,14.844,1,4855,1214.75,4,0.75,91.66,49.605,0.64,2.075,-1.128,0.451,336,1.2,0.797,3873,2142.94,5832,14387.57,5832,3873,4859,1255.262,61,59,12,15.031,1,774,153.875,8,160.056,34.915,0.875,2.181,-0.918,0.474,302,2.751,0.997,1227,1072.169,3386,8525.279,3386,1227,1231,318.013,0.432,0.885,25.33439234,0,1231,2848
Degenerating,0,1,2,1,19,42,4,0,951,951,951,1,0,49.23,24.196,0.6,3.128,-1.824,0.68,78,1.366,0.851,809,422.188,1299,3408.304,1299,809,951,240.318,14,33,2,5.565,1,25,8.222,9,142.112,8.602,0.889,5.3,-1.508,1.152,40,6.486,1,74,110.253,480,1305.171,480,74,74,18.7,0.143,1.374,7.781356369,0,74,517
Degenerating,0,1,2,1,36,117,8,0,5296,5296,5296,1,0,101.566,60.705,0.617,1.733,-1.035,0.377,494,1.249,0.886,4693,2248.422,6614,17254.94,6614,4693,5296,1338.299,33,114,7,16.803,1,222,23.312,32,321.846,27.313,0.969,2.473,-0.732,0.538,488,5.178,1,746,1004.287,3863,10386.93,3863,746,746,188.514,0.24,2.236,14.08608988,0,746,3111
Degenerating,1,1,3,1,42,48,4,0,1759,1759,1759,1,0,105.04,41.583,0.671,1.956,1.067,0.001,288,1.844,0.994,1658,3040,2293,3052,3244,1749,1759,444.499,0,0,0,0,100000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481.292,0,1068
Degenerating,1,0,0,0,58,44,2,11.007,2,1772,887,2,0.5,113.98,42.083,0.61,1.847,1.023,0.402,418,1.942,0.999,1765,3186,2671,3186,3445,1773,1774,448.29,48,31,2,7.345,1,94,14.857,14,197.11,14.422,0.928571429,3.755,1.156,0.816,138,5.716,1,208,676,633,724,1189,208,208,52.562,0.199,1.744,11.72499944,16.125,208,1044
Degenerating,0,1,2,1,26,31,5,0,1231,1231,1231,1,0,38.517,21.243,0.636,3.426,-2.088,0.745,56,1.064,0.716,881,430.624,1310,3432.304,1310,881,1231,311.074,24,30,3,7.36,49,136,78.333,3,90.391,15.33,0.667,3.668,-1.451,0.797,52,3.264,1,235,212.222,767,2049.507,767,235,235,59.384,0.307,0.377,19.08999145,0,235,766
Degenerating,1,1,3,1,50,76,4,11.281,1,3848,770.6,5,0.8,116.873,58.744,0.661,1.555,0.954,0.338,460,1.525,0.964,3516,5730,4545,5752,5875,3714,3853,973.653,43,71,2,10.576,1,160,10.409,44,308.368,21.401,0.977272727,2.887,0.975,0.627,460,5.921,1,458,1356,1432,1710,2712,458,458,115.737,0.199,0.873,11.88688373,7.141,458,2297
Degenerating,0,1,2,1,17,22,3,0,768,768,768,1,0,38.066,20.541,0.609,3.332,-2.13,0.724,24,1.236,0.819,629,289.788,949,2508.623,949,629,768,194.074,6,13,1,4.907,5,8,6.5,2,75.772,3.606,0.5,9.463,-2.796,2.057,8,7.615,1,13,20.756,99,271.176,99,13,13,3.285,0.029,0.47,1.692653318,0,13,447
Degenerating,1,1,3,1,48,73,4,8.466,1,2978,1489.5,2,0.5,127.037,53.594,0.641,1.649,0.917,0,474,1.756,0.988,2794,5022,3784,5052,5232,2943,2979,752.793,39,65,4,9.68,1,641,203.5,4,167.494,28.531,0.75,2.41,0.952,0.001,318,3.254,1,805,2038,1652,2092,2649,814,814,205.698,0.455,1.286,27.32464303,15.843,814,1790
Degenerating,0,1,2,1,26,78,7,0,2219,2219,2219,1,0,76.357,40.187,0.641,2.442,-1.273,0.531,224,1.38,0.9,1996,1194.553,3062,7834.673,3062,1996,2219,560.741,22,70,6,11.596,1,130,13.571,14,211.713,13.784,0.929,3.891,-1.051,0.846,166,6.179,1,190,307.063,1174,3154.828,1174,190,190,48.013,0.142,3.874,8.562420083,0,190,1335
Degenerating,0,1,2,1,10,9,2,0,138,138,138,1,0,42.261,11.366,0.368,4.716,-2.268,1.025,14,2.348,0.978,135,99.089,324,856.322,324,135,138,34.873,0,0,0,0,1,1,1,1,76.368,1,0,22.251,Inf,4.836,2,18,1,1,2.949,18,50.13,18,1,1,0.253,0.048,1.097,0.725489634,0,1,21
Degenerating,1,1,3,0,69,52,2,11.071,1,1815,184.7,10,0.9,226.161,42.977,0.516,1.814,0.737,0.394,914,3.025,1,1847,4544,3917,4616,5588,1847,1847,466.737,65,48,2,12.715,1,256,20.15,20,238.453,20.075,0.95,3.012,0.976,0.655,344,5.206,1,403,1244,1158,1340,2098,403,403,101.838,0.448,4.657,21.819,11.402,403,899
Degenerating,1,1,3,0,69,19,3,0,1395,1395,1395,1,0,81.559,35.636,0.653,2.139,1.293,0.465,136,1.683,0.969,1299,2148,1750,2148,2348,1352,1395,352.516,55,16,1,9.98,2,143,57.2,5,122.208,16.912,0.8,3.377,1.281,0.734,124,3.738,1,286,754,627,784,1069,286,286,72.272,0.317,1.432,20.502,12.369,286,903
